Country,Active_Military,Reserve_Military,Paramilitary,Total,sq_km,sq_mi,Country_Size_Rank
Afghanistan,170000,0,0,170000,652864,252072,40
Albania,8500,2100,0,10600,28748,11100,138
Algeria,130000,150000,187200,467200,2381741,919595,11
Angola,107000,0,10000,117000,1246700,481350,22
Antigua_and_Barbuda ,240,75,0,315,442,171,169
Argentina,72100,0,31250,103350,2780400,1073500,9
Armenia,44800,210000,4300,259100,29743,11484,137
Australia,58600,30100,0,88700,7741220,2988900,6
Austria,22050,125600,0,147650,83878,32385,113
Azerbaijan,126950,330000,15000,471950,86600,33400,112
Bahamas,1300,0,0,1300,13880,5359,152
Bahrain,8200,0,11260,19460,778,300,166
Bangladesh,163050,0,63900,226950,148460,57321,92
Barbados,610,430,0,1040,431,166,170
Belarus,45350,289500,110000,444850,207600,80160,84
Belgium,26300,5100,0,31400,30528,11787,135
Belize,1500,700,150,2350,22965,8867,145
Benin,7250,0,4800,12050,114763,44310,100
Bolivia,34100,0,37100,71200,1098581,424164,27
Bosnia_and_Herzegovina,10500,0,0,10500,51209,19772,125
Botswana,9000,0,0,9000,582000,225000,47
Brazil,366500,1340000,395000,2101500,8510346,3285862,5
Brunei,7200,700,450,8350,5765,2226,161
Bulgaria,36950,3000,0,39950,110879,42811,103
Burkina_Faso,11200,0,250,11450,274200,105900,74
Burundi,30050,0,21000,51050,27834,10747,140
Cambodia,124300,0,67000,191300,181035,69898,88
Cameroon,25400,0,9000,34400,475650,183650,53
Canada,67400,35600,4500,107500,9984670,3855100,2
Cape_Verde,1200,0,0,1200,4033,1557,163
Central_African_Republic,9150,0,1000,10150,622984,240535,44
Chad,33250,0,11900,45150,1284000,495800,20
Chile,77200,40000,44700,161900,756102,291932,37
China,2035000,510000,500000,3045000,9596960,3705410,3
Colombia,293200,34950,187900,516050,1138910,439735,25
Costa_Rica,0,0,9800,9800,51100,19700,126
Croatia,15200,18350,3000,36550,56594,21851,124
Cuba,49000,39000,1146500,1234500,109884,42426,104
Cyprus,15000,50000,750,65750,9251,3572,160
