Date,Light_Truck,Passenger_Cars
01/01/1967,1235000,8466000
02/01/1967,1138000,7540000
03/01/1967,1237000,7960000
04/01/1967,1204000,8910000
05/01/1967,1184000,8743000
06/01/1967,1240000,8972000
07/01/1967,1237000,8751000
08/01/1967,1206000,8111000
09/01/1967,1417000,8566000
10/01/1967,1053000,7857000
11/01/1967,988000,7617000
12/01/1967,1273000,8670000
01/01/1968,1332000,9482000
02/01/1968,1304000,9030000
03/01/1968,1566000,9747000
04/01/1968,1380000,9119000
05/01/1968,1473000,9670000
06/01/1968,1375000,9415000
07/01/1968,1450000,10020000
08/01/1968,1465000,10009000
09/01/1968,1460000,9912000
10/01/1968,1584000,10041000
11/01/1968,1592000,9696000
12/01/1968,1571000,9712000
01/01/1969,1567000,9968000
02/01/1969,1632000,9741000
03/01/1969,1528000,9382000
04/01/1969,1543000,9634000
05/01/1969,1518000,9678000
06/01/1969,1488000,9575000
07/01/1969,1424000,9132000
08/01/1969,1566000,9580000
09/01/1969,1605000,10133000
10/01/1969,1567000,9876000
11/01/1969,1556000,9303000
12/01/1969,1630000,8979000
01/01/1970,1478000,8523000
02/01/1970,1478000,9134000
03/01/1970,1386000,8594000
04/01/1970,1403000,8931000
05/01/1970,1419000,8954000
06/01/1970,1563000,9346000
07/01/1970,1529000,9050000
08/01/1970,1536000,8851000
09/01/1970,1636000,8863000
10/01/1970,1347000,7469000
11/01/1970,1082000,6359000
12/01/1970,1043000,6756000
01/01/1971,1410000,9755000
02/01/1971,1436000,9822000
03/01/1971,1532000,10346000
04/01/1971,1672000,9960000
05/01/1971,1571000,9773000
06/01/1971,1625000,10097000
07/01/1971,1695000,9563000
08/01/1971,1641000,10010000
09/01/1971,1810000,11506000
10/01/1971,1982000,11153000
11/01/1971,2070000,10684000
12/01/1971,1956000,10066000
01/01/1972,1979000,10363000
02/01/1972,2297000,10553000
03/01/1972,2094000,10498000
04/01/1972,2122000,10589000
05/01/1972,2190000,10799000
06/01/1972,2171000,10566000
07/01/1972,1993000,10700000
08/01/1972,1850000,10918000
09/01/1972,1944000,10800000
10/01/1972,2124000,11233000
11/01/1972,2346000,11606000
12/01/1972,2284000,11854000
01/01/1973,2638000,11953000
02/01/1973,2572000,12121000
03/01/1973,2910000,12838000
04/01/1973,2401000,12343000
05/01/1973,2435000,12406000
06/01/1973,2284000,11630000
07/01/1973,2512000,11352000
08/01/1973,2495000,10921000
09/01/1973,2480000,11127000
10/01/1973,2454000,9750000
11/01/1973,2475000,10150000
12/01/1973,2499000,9612000
01/01/1974,2054000,9599000
02/01/1974,2157000,9131000
03/01/1974,2298000,9169000
04/01/1974,2345000,9053000
05/01/1974,2349000,8991000
06/01/1974,2382000,8921000
07/01/1974,2273000,8900000
08/01/1974,2831000,10372000
09/01/1974,2161000,8963000
10/01/1974,1719000,7938000
11/01/1974,1711000,7060000
12/01/1974,1836000,7189000
01/01/1975,1681000,7957000
02/01/1975,1665000,9111000
03/01/1975,1608000,7612000
04/01/1975,1846000,7287000
05/01/1975,1985000,7723000
06/01/1975,1972000,8045000
07/01/1975,2141000,8981000
08/01/1975,2182000,8718000
09/01/1975,2309000,9099000
10/01/1975,2345000,9088000
11/01/1975,2508000,9265000
12/01/1975,2419000,9570000
01/01/1976,2771000,9741000
02/01/1976,2912000,10132000
03/01/1976,2885000,10200000
04/01/1976,2916000,9999000
05/01/1976,2884000,9761000
06/01/1976,2943000,9784000
07/01/1976,3140000,9982000
08/01/1976,3080000,9514000
09/01/1976,3065000,10144000
10/01/1976,2968000,9569000
11/01/1976,2974000,10032000
12/01/1976,3123000,11074000
01/01/1977,3303000,10716000
02/01/1977,3446000,10889000
03/01/1977,3489000,11293000
04/01/1977,3491000,11262000
05/01/1977,3385000,11220000
06/01/1977,3245000,11326000
07/01/1977,3266000,11040000
08/01/1977,3364000,11124000
09/01/1977,3438000,10836000
10/01/1977,3577000,10934000
11/01/1977,3587000,10809000
12/01/1977,3687000,11102000
01/01/1978,3264000,10070000
02/01/1978,3519000,10450000
03/01/1978,3761000,10953000
04/01/1978,3971000,11786000
05/01/1978,4026000,11804000
06/01/1978,4057000,11811000
07/01/1978,4019000,11067000
08/01/1978,4022000,11654000
09/01/1978,3400000,10795000
10/01/1978,3989000,11402000
11/01/1978,3915000,11100000
12/01/1978,3764000,11075000
01/01/1979,3663000,10963000
02/01/1979,3586000,11270000
03/01/1979,3468000,11371000
04/01/1979,3415000,10889000
05/01/1979,3168000,10798000
06/01/1979,2748000,9615000
07/01/1979,3099000,10613000
08/01/1979,3193000,10806000
09/01/1979,3238000,10715000
10/01/1979,3143000,9590000
11/01/1979,2945000,9722000
12/01/1979,2844000,10354000
01/01/1980,2789000,11326000
02/01/1980,2490000,10477000
03/01/1980,2274000,9523000
04/01/1980,2092000,8106000
05/01/1980,1960000,7350000
06/01/1980,2232000,7949000
07/01/1980,2434000,8947000
08/01/1980,2201000,8659000
09/01/1980,1921000,8701000
10/01/1980,2057000,9089000
11/01/1980,2107000,8907000
12/01/1980,1970000,8748000
01/01/1981,1993000,9043000
02/01/1981,2084000,10032000
03/01/1981,1984000,10201000
04/01/1981,2122000,8090000
05/01/1981,2066000,8070000
06/01/1981,2129000,8076000
07/01/1981,2012000,8194000
08/01/1981,2399000,10058000
09/01/1981,2009000,8854000
10/01/1981,1928000,7281000
11/01/1981,1949000,7345000
12/01/1981,1680000,7169000
01/01/1982,2280000,7795000
02/01/1982,2409000,8316000
03/01/1982,2565000,7892000
04/01/1982,2215000,7326000
05/01/1982,2490000,8410000
06/01/1982,2108000,7312000
07/01/1982,2206000,7379000
08/01/1982,2240000,7539000
09/01/1982,2510000,8448000
10/01/1982,2272000,7709000
11/01/1982,2870000,8996000
12/01/1982,2441000,8632000
01/01/1983,2424000,8264000
02/01/1983,2265000,8176000
03/01/1983,2540000,8292000
04/01/1983,2784000,8723000
05/01/1983,2803000,9062000
06/01/1983,2989000,9796000
07/01/1983,3063000,9670000
08/01/1983,3009000,9039000
09/01/1983,3258000,9000000
10/01/1983,3192000,9911000
11/01/1983,3290000,9609000
12/01/1983,3675000,10603000
01/01/1984,3567000,10431000
02/01/1984,3561000,10569000
03/01/1984,3731000,10236000
04/01/1984,3828000,10266000
05/01/1984,3867000,10702000
06/01/1984,3861000,10533000
07/01/1984,3922000,10533000
08/01/1984,3775000,10231000
09/01/1984,3634000,10028000
10/01/1984,4153000,10189000
11/01/1984,4125000,10319000
12/01/1984,3661000,10645000
01/01/1985,4507000,10758000
02/01/1985,4593000,10839000
03/01/1985,4304000,10745000
04/01/1985,4282000,10942000
05/01/1985,4191000,11079000
06/01/1985,4372000,10428000
07/01/1985,4851000,10371000
08/01/1985,4393000,12240000
09/01/1985,4661000,14148000
10/01/1985,4407000,9480000
11/01/1985,4505000,9828000
12/01/1985,4507000,10880000
01/01/1986,4318000,11463000
02/01/1986,4328000,10798000
03/01/1986,4022000,9878000
04/01/1986,4577000,11002000
05/01/1986,4715000,11323000
06/01/1986,4468000,11169000
07/01/1986,4637000,10834000
08/01/1986,4969000,12041000
09/01/1986,6170000,15051000
10/01/1986,4258000,10258000
11/01/1986,4271000,10274000
12/01/1986,5005000,12777000
01/01/1987,3785000,8370000
02/01/1987,4626000,10204000
03/01/1987,4678000,10339000
04/01/1987,4802000,10365000
05/01/1987,4620000,9663000
06/01/1987,5071000,10270000
07/01/1987,4852000,10520000
08/01/1987,5024000,11762000
09/01/1987,4692000,11128000
10/01/1987,4739000,9236000
11/01/1987,4678000,9549000
12/01/1987,4712000,10642000
01/01/1988,4868000,10902000
02/01/1988,5028000,11144000
03/01/1988,5023000,10825000
04/01/1988,4800000,10401000
05/01/1988,5057000,10549000
06/01/1988,4755000,10770000
07/01/1988,5013000,10362000
08/01/1988,4789000,10289000
09/01/1988,4750000,9960000
10/01/1988,4927000,9888000
11/01/1988,4880000,10158000
12/01/1988,4800000,11298000
01/01/1989,4930000,10087000
02/01/1989,4824000,9844000
03/01/1989,4668000,9694000
04/01/1989,4971000,10727000
05/01/1989,4675000,10267000
06/01/1989,4549000,9516000
07/01/1989,4655000,9734000
08/01/1989,5147000,11087000
09/01/1989,5016000,10345000
10/01/1989,4504000,8766000
11/01/1989,4532000,8536000
12/01/1989,4554000,8719000
01/01/1990,5590000,10420000
02/01/1990,4587000,9479000
03/01/1990,4690000,9513000
04/01/1990,4604000,9405000
05/01/1990,4614000,9129000
06/01/1990,4642000,9225000
07/01/1990,4646000,9143000
08/01/1990,4390000,9192000
09/01/1990,4366000,9659000
10/01/1990,4328000,9155000
11/01/1990,4276000,8601000
12/01/1990,4021000,8681000
01/01/1991,3845000,7751000
02/01/1991,3994000,8181000
03/01/1991,4061000,8555000
04/01/1991,3958000,7867000
05/01/1991,4079000,8191000
06/01/1991,4184000,8321000
07/01/1991,4189000,8553000
08/01/1991,4146000,8206000
09/01/1991,4563000,8327000
10/01/1991,3962000,8053000
11/01/1991,4169000,8195000
12/01/1991,4520000,7900000
01/01/1992,4258000,8109000
02/01/1992,4324000,8374000
03/01/1992,4406000,8186000
04/01/1992,4416000,7894000
05/01/1992,4618000,8242000
06/01/1992,4738000,8579000
07/01/1992,4433000,8167000
08/01/1992,4739000,7881000
09/01/1992,4927000,8187000
10/01/1992,5087000,8281000
11/01/1992,4819000,8139000
12/01/1992,4982000,8532000
01/01/1993,4883000,8310000
02/01/1993,4883000,7815000
03/01/1993,5027000,8014000
04/01/1993,5424000,8811000
05/01/1993,5437000,8775000
06/01/1993,5485000,8703000
07/01/1993,5452000,8691000
08/01/1993,5163000,8113000
09/01/1993,5400000,8276000
10/01/1993,5567000,9036000
11/01/1993,5602000,8937000
12/01/1993,5946000,8733000
01/01/1994,6050000,8985000
02/01/1994,6023000,9171000
03/01/1994,5854000,9120000
04/01/1994,6203000,9478000
05/01/1994,5654000,8595000
06/01/1994,5976000,8788000
07/01/1994,5854000,8668000
08/01/1994,6063000,8926000
09/01/1994,6032000,8879000
10/01/1994,6417000,9100000
11/01/1994,6373000,9127000
12/01/1994,6146000,9049000
01/01/1995,5951000,8412000
02/01/1995,6014000,8444000
03/01/1995,6159000,8707000
04/01/1995,5828000,8151000
05/01/1995,5908000,8509000
06/01/1995,6201000,8818000
07/01/1995,5954000,8371000
08/01/1995,6015000,8991000
09/01/1995,6135000,8825000
10/01/1995,5972000,8497000
11/01/1995,6306000,8705000
12/01/1995,6852000,9009000
01/01/1996,6405000,8045000
02/01/1996,6597000,8617000
03/01/1996,6651000,9028000
04/01/1996,6463000,8648000
05/01/1996,6569000,9055000
06/01/1996,6378000,8487000
07/01/1996,6386000,8314000
08/01/1996,6654000,8474000
09/01/1996,6627000,8557000
10/01/1996,6897000,8075000
11/01/1996,7105000,8286000
12/01/1996,6692000,8157000
01/01/1997,6671000,8660000
02/01/1997,6641000,8275000
03/01/1997,7011000,8433000
04/01/1997,6679000,8015000
05/01/1997,6742000,7975000
06/01/1997,6408000,7771000
07/01/1997,6847000,8347000
08/01/1997,7206000,8559000
09/01/1997,6783000,7928000
10/01/1997,7007000,8029000
11/01/1997,7417000,8004000
12/01/1997,7438000,8620000
01/01/1998,6947000,7453000
02/01/1998,6979000,7859000
03/01/1998,7079000,7923000
04/01/1998,7422000,8099000
05/01/1998,8070000,8579000
06/01/1998,7982000,8396000
07/01/1998,6970000,7284000
08/01/1998,6805000,7553000
09/01/1998,7563000,8299000
10/01/1998,7968000,8711000
11/01/1998,7720000,7912000
12/01/1998,7990000,8953000
01/01/1999,8031000,8064000
02/01/1999,8046000,8520000
03/01/1999,7937000,8395000
04/01/1999,7919000,8503000
05/01/1999,8297000,8761000
06/01/1999,8203000,8636000
07/01/1999,8377000,8795000
08/01/1999,8263000,8858000
09/01/1999,8566000,8550000
10/01/1999,8353000,8786000
11/01/1999,8258000,8815000
12/01/1999,8819000,8974000
01/01/2000,8808000,9307000
02/01/2000,9313000,9566000
03/01/2000,8851000,8970000
04/01/2000,8539000,8903000
05/01/2000,8590000,8877000
06/01/2000,8325000,8753000
07/01/2000,8255000,8597000
08/01/2000,8493000,8597000
09/01/2000,9293000,8953000
10/01/2000,8522000,8595000
11/01/2000,8025000,8234000
12/01/2000,7849000,7982000
01/01/2001,8542000,8710000
02/01/2001,8554000,8880000
03/01/2001,8606000,8262000
04/01/2001,8222000,8309000
05/01/2001,8199000,8304000
06/01/2001,8779000,8324000
07/01/2001,8263000,7860000
08/01/2001,8280000,7736000
09/01/2001,8317000,7740000
10/01/2001,11330000,10379000
11/01/2001,9386000,8339000
12/01/2001,8765000,7382000
01/01/2002,8573000,7647000
02/01/2002,9005000,8001000
03/01/2002,8722000,8066000
04/01/2002,8914000,8428000
05/01/2002,8019000,7825000
06/01/2002,8594000,8032000
07/01/2002,9231000,8598000
08/01/2002,9569000,8536000
09/01/2002,8418000,7907000
10/01/2002,8378000,7544000
11/01/2002,8352000,7843000
12/01/2002,9514000,8079000
01/01/2003,8365000,8060000
02/01/2003,8370000,7444000
03/01/2003,8598000,7575000
04/01/2003,9041000,7391000
05/01/2003,8897000,7255000
06/01/2003,9051000,7635000
