Manufacturer,Model,EPA Size Class,Range,
Acura,Acura NSX,Two Seaters,ᵃ,
Audi,Audi A4 allroad quattro,Small Station Wagons,398,
Audi,Audi A4 quattro,Compact Cars,428,
Audi,Audi A4 S line quattro,Compact Cars,413,
Audi,Audi A5 Cabriolet quattro,Subcompact Cars,ᵃ,
Audi,Audi A5 quattro,Subcompact Cars,ᵃ,
Audi,Audi A5 Sportback quattro,Midsize Cars,ᵃ,
Audi,Audi A5 Sportback S line quattro,Midsize Cars,ᵃ,
Audi,Audi A6 Allroad,Midsize Station Wagons,ᵃ,
Audi,Audi A6 quattro 2L,Midsize Cars,502,
Audi,Audi A6 quattro 3L,Midsize Cars,ᵃ,
Audi,Audi A7 quattro,Midsize Cars,463,
Audi,Audi A8 3L,Large Cars,ᵃ,
Audi,Audi A8 4L,Large Cars,391,
Audi,Audi Q5,Small SUV 4WD,462,
Audi,Audi Q5 Sportback,Small SUV 4WD,ᵃ,
Audi,Audi Q7,Standard SUV 4WD,450,
Audi,Audi Q8,Standard SUV 4WD,450,
Audi,Audi RS 6 Avant,Midsize Station Wagons,ᵃ,
Audi,Audi RS 7,Midsize Cars,ᵃ,
Audi,Audi RS Q8,Standard SUV 4WD,ᵃ,
Audi,Audi S6,Midsize Cars,ᵃ,
Audi,Audi S7,Midsize Cars,ᵃ,
Audi,Audi S8,Large Cars,ᵃ,
BMW,BMW 540i,Midsize Cars,ᵃ,
BMW,BMW 540i xDrive,Midsize Cars,468,
BMW,BMW M340i,Compact Cars,ᵃ,
BMW,BMW M340i xDrive,Compact Cars,ᵃ,
BMW,BMW M440i Convertible,Subcompact Cars,ᵃ,
BMW,BMW M440i xDrive Coupe,Subcompact Cars,390,
BMW,BMW X5 sDrive40i,Standard SUV 2WD,504,
BMW,BMW X5 xDrive40i,Standard SUV 4WD,504,
BMW,BMW X6 sDrive40i,Standard SUV 2WD,504,
BMW,BMW X6 xDrive40i,Standard SUV 4WD,504,
BMW,BMW X7 xDrive40i,Standard SUV 4WD,460,
Ford,Ford Escape AWD HEV,Small SUV 4WD,ᵃ,
Ford,Ford Escape FWD HEV,Small SUV 2WD,ᵃ,
Ford,Ford Explorer HEV AWD,Standard SUV 4WD,465,
Ford,Ford Explorer HEV RWD,Standard SUV 2WD,502,
Ford,Ford F150 Pickup 2WD HEV,Standard Pick-up Trucks 2WD,765,
Ford,Ford F150 Pickup 4WD HEV,Standard Pick-up Trucks 4WD,734,
Honda,Honda Accord,Large Cars,614,
Honda,Honda Accord Sport/Touring,Large Cars,550,
Honda,Honda CR-V AWD,Small SUV 4WD,406,
Honda,Honda Insight,Midsize Cars,551,
Honda,Honda Insight Touring,Compact Cars,509,
Hyundai,Hyundai Motor Company Elantra Hybrid,Midsize Cars,550,
Hyundai,Hyundai Motor Company Elantra Hybrid Blue,Midsize Cars,594,
Hyundai,Hyundai Motor Company Ioniq,Large Cars,ᵃ,
Hyundai,Hyundai Motor Company Ioniq Blue,Large Cars,ᵃ,
Hyundai,Hyundai Motor Company Santa Fe Hybrid,Small SUV 4WD,ᵃ,
Hyundai,Hyundai Motor Company Santa Fe Hybrid Blue,Small SUV 4WD,ᵃ,
Hyundai,Hyundai Motor Company Sonata Hybrid,Large Cars,620,
Hyundai,Hyundai Motor Company Sonata Hybrid Blue,Large Cars,686,
Jaguar,Jaguar E-PACE MHEV,Small SUV 4WD,ᵃ,
Jaguar,Jaguar F-PACE P340 MHEV,Small SUV 4WD,ᵃ,
Jaguar,Jaguar F-PACE P400 MHEV,Small SUV 4WD,ᵃ,
Jeep,Jeep Wrangler 2dr 4X4,Small SUV 4WD,368,
Jeep,Jeep Wrangler 4dr 4X4,Small SUV 4WD,452,
Kia,Kia Motors Corporation Niro,Small Station Wagons,ᵃ,
Kia,Kia Motors Corporation Niro FE,Small Station Wagons,ᵃ,
Kia,Kia Motors Corporation Niro Touring,Small Station Wagons,ᵃ,
Kia,Kia Motors Corporation Sorento Hybrid,Small SUV 2WD,ᵃ,
Land Rover,Land Rover Defender 110 MHEV,Standard SUV 4WD,ᵃ,
Land Rover,Land Rover Defender 90 MHEV,Standard SUV 4WD,ᵃ,
Land Rover,Land Rover Discovery MHEV,Standard SUV 4WD,ᵃ,
Land Rover,Land Rover Range Rover MHEV,Standard SUV 4WD,550,
Land Rover,Land Rover Range Rover Sport MHEV,Standard SUV 4WD,580,
Land Rover,Land Rover Range Rover Velar P340 MHEV,Small SUV 4WD,ᵃ,
Land Rover,Land Rover Range Rover Velar P400 MHEV,Small SUV 4WD,ᵃ,
Lexus,Lexus ES 300h,Midsize Cars,581,
Lexus,Lexus LC 500h,Subcompact Cars,644,
Lexus,Lexus LS 500h,Midsize Cars,ᵃ,
Lexus,Lexus LS 500h AWD,Midsize Cars,ᵃ,
Lexus,Lexus NX 300h AWD,Small SUV 4WD,459,
Lexus,Lexus RX 450h AWD,Standard SUV 4WD,516,
Lexus,Lexus RX 450h L AWD,Standard SUV 4WD,499,
Lexus,Lexus UX 250h,Compact Cars,445,
Lexus,Lexus UX 250h AWD,Compact Cars,413,
Mercedes-Benz,Mercedes-Benz AMG CLS53 4MATIC+,Compact Cars,547,
Mercedes-Benz,Mercedes-Benz AMG E53 4MATIC+,Midsize Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz AMG E53 4MATIC+ (Convertible),Subcompact Cars,485,
Mercedes-Benz,Mercedes-Benz AMG E53 4MATIC+ (Coupe),Subcompact Cars,418,
Mercedes-Benz,Mercedes-Benz AMG GLE 53 4MATIC+,Standard SUV 4WD,428,
Mercedes-Benz,Mercedes-Benz AMG GLE 53 4MATIC+ (coupe),Standard SUV 4WD,450,
Mercedes-Benz,Mercedes-Benz AMG GLE 63 S 4MATIC+,Standard SUV 4WD,360,
Mercedes-Benz,Mercedes-Benz AMG GLE 63 S 4MATIC+ (coupe),Standard SUV 4WD,382,
Mercedes-Benz,Mercedes-Benz AMG GLS 63 4MATIC+,Standard SUV 4WD,381,
Mercedes-Benz,Mercedes-Benz AMG GT 43 4MATIC+,Compact Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz AMG GT 53 4MATIC+,Compact Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz CLS 450,Compact Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz CLS 450 4MATIC,Compact Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz E 450 (convertible),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 (coupe),Subcompact Cars,452,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC,Midsize Cars,549,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC (convertible),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC (coupe),Subcompact Cars,435,
Mercedes-Benz,Mercedes-Benz E 450 4MATIC All-Terrain (wagon),Midsize Station Wagons,506,
Mercedes-Benz,Mercedes-Benz GLE 450 4MATIC,Standard SUV 4WD,518,
Mercedes-Benz,Mercedes-Benz GLE 580 4MATIC,Standard SUV 4WD,428,
Mercedes-Benz,Mercedes-Benz GLS 450 4MATIC,Standard SUV 4WD,500,
Mercedes-Benz,Mercedes-Benz GLS 580 4MATIC,Standard SUV 4WD,428,
Mercedes-Benz,Mercedes-Benz GLS 600 4MATIC Maybach,Standard SUV 4WD,381,
Mercedes-Benz,Mercedes-Benz S 500 4MATIC,Large Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz S 580 4MATIC,Large Cars,ᵃ,
Mercedes-Benz,Mercedes-Benz S 580 4MATIC Maybach,Large Cars,ᵃ,
RAM,RAM 1500 3.6L 4X2,Standard Pick-up Trucks 2WD,506,572
RAM,RAM 1500 5.7L 4X2,Standard Pick-up Trucks 2WD,437,494
RAM,RAM 1500 HFE 4X2,Standard Pick-up Trucks 2WD,ᵃ,ᵃ
