Manufacturer_ID,Manufacturer,Model,Model_Year,Alternative_Fuel_Economy_City,Alternative_Fuel_Economy_Highway,Alternative_Fuel_Economy_Combined,Conventional_Fuel_Economy_City,Conventional_Fuel_Economy_Highway,Conventional_Fuel_Economy_Combined,Transmission,Engine_Type,Engine_Size,Engine_Cylinder_Count,Engine_and_Motors_Description,Category,Fuel_Code,Fuel,Fuel_Configuration_Name,Electric_Only_Range,eRange_min,eRange_max,eRange_avg,Total_Range,PHEV_Type,Drivetrain,Charging_Rate_Level_2_in_kW,Charging_Rate_DC_Fast_kW,Charging_Speed_Level_1_miles_added_per_hour_of_charging,Charging_Speed_Level_2_miles_added_per_hour_of_charging,Charging_Speed_DCFast_miles_added_per_hour_of_charging,Battery_Voltage,Battery_Capacity_Amp_Hours,Battery_Capacity_kWh,Seating_Capacity,Notes
490,Alfa Romeo,Tonale eAWD,2024,,,77,29,29,29,Auto,SI,1.3L,4,"1.3L I4;
89 kW electric motor",SUV,PHEV,Plug-in Hybrid Electric,Hybrid Electric,33,33,33,33,360,Blended,AWD,,,,,,304,51,15,,
377,Audi,A3,2024,,,,29,37,32,Auto,SI,2.0L,4,2.0L I4,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,FWD,,,,,,,,,,
377,Audi,A3 quattro,2024,,,,27,34,30,Auto,SI,2.0L,4,2.0L I4,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,A4 quattro/S-Line/Allroad,2024,,,,,,27-30,Auto,SI,2.0L,4,2.0L I4,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,Includes Allroad and S-Line models
377,Audi,A5 quattro Coupe/Cabriolet/Sportback,2024,,,,,,27-30,Auto,SI,2.0L,4,2.0L I4,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,"Includes Coupe, Cabriolet, and Sportback models"
377,Audi,A6 quattro,2024,,,,23,33,26,Auto,SI,2.0L,4,2.0L I4,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,A6 quattro/Allroad,2024,,,,22,30,25,Auto,SI,3.0L,6,3.0L V6,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,A7 quattro,2024,,,,22,30,25,Auto,SI,3.0L,6,3.0L V6,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,A8 quattro,2024,,,,19,28,22,Auto,SI,3.0L,6,3.0L V6,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,e-tron GT/RS e-tron GT,2024,,,85,,,,Auto,e-motor,175 kW and 320 or 335 kW,,175 kW and 320 or 335 kW electric motors,Sedan/Wagon,ELEC,Electric,Dedicated,249,249,249,249,,,AWD,9.6,270,3,23,292,723,129,93,5,
377,Audi,Q4 40 e-tron,2024,112,94,103,,,,Auto,e-motor,150 kW,,150 kW electric motor,SUV,ELEC,Electric,Dedicated,265,265,265,265,,,RWD,11,125,3,31,282,352,234,82,5,
377,Audi,Q4 50 e-tron quattro,2024,97,87,93,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),SUV,ELEC,Electric,Dedicated,236,236,236,236,,,AWD,11,125,3,31,282,352,234,82,5,
377,Audi,Q4 Sportback 50 e-tron quattro,2024,100,89,95,,,,Auto,e-motor,80 kW (x2),,80 kW electric motors (x2),SUV,ELEC,Electric,Dedicated,242,242,242,242,,,AWD,11,125,3,31,282,352,234,82,5,
377,Audi,Q5 quattro/Sportback/S-Line,2024,,,,,,24-26,Auto,SI,2.0L,4,2.0L I4,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,Includes S-Line and Sportback S-Line models
377,Audi,Q7 quattro,2024,,,,19,24,21,Auto,SI,3.0L,6,3.0L V6,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,Q8 e-tron quattro,2024,80,83,81,,,,Auto,e-motor,141 kW (x2),,141 kW electric motors (x2),SUV,ELEC,Electric,Dedicated,285,285,285,285,,,AWD,11,125,3,31,282,397,288,114,5,
377,Audi,Q8 quattro,2024,,,,17,23,19,Auto,SI,3.0L,6,3.0L V6,SUV,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,Q8 Sportback e-tron quattro,2024,84,90,87,,,,Auto,e-motor,141 and 172 kW,,141 and 172 kW electric motors,SUV,ELEC,Electric,Dedicated,296,296,296,296,,,AWD,9.6-19.2,170,3,44,311,397,288,114,5,
377,Audi,Q8 Sportback e-tron ultra quattro,2024,84,89,86,,,,Auto,e-motor,172 kW (x2),,172 kW electric motors (x2),SUV,ELEC,Electric,Dedicated,300,300,300,300,,,AWD,11,125,3,31,282,397,288,114,5,
377,Audi,RS 6 Avant,2024,,,,14,22,17,Auto,SI,4.0L,8,4.0L V8,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
377,Audi,RS7,2024,,,,14,22,17,Auto,SI,4.0L,8,4.0L V8,Sedan/Wagon,HYBR,Hybrid Electric,Hybrid Electric,,,,,,,AWD,,,,,,,,,,
