Vehicle_ID,Fuel_ID,Manufacturer_ID,Category_ID,Model,Model_Year,Alternative Fuel Economy City,Alternative Fuel Economy Highway,Alternative Fuel Economy Combined,Conventional Fuel Economy City,Conventional Fuel Economy Highway,Conventional Fuel Economy Combined,Engine Type,Engine Size,Engine Cylinder Count,Engine/Motor(s) Description,Manufacturer,Manufacturer URL,Category,Fuel_Code,Fuel,Electric-Only Range,Total Range,PHEV Type,Notes,Drivetrain,Charging Rate Level 2 (kW),Charging Rate DC Fast (kW),Charging Speed Level 1 (miles added per hour of charging),Charging Speed Level 2 (miles added per hour of charging),Charging Speed DC Fast (miles added per hour of charging),Battery Voltage,Battery Capacity Amp Hours,Battery Capacity kWh,Seating Capacity
13644,41,365,29,ZDX AWD,2024,94,80,87,,,,e-motor,155 and 220 kW,,155 and 220 kW electric motors,Acura,http://www.acura.com/,SUV,ELEC,Electric,304,,,,AWD,,,,,,400,298,119.2,
13645,41,365,29,ZDX RWD,2024,96,83,90,,,,e-motor,255 kW ,,255 kW  electric motor,Acura,http://www.acura.com/,SUV,ELEC,Electric,313,,,,RWD,,,,,,400,298,119.2,
13532,57,490,29,Tonale eAWD,2024,,,77,29,29,29,SI,1.3L,4,"1.3L I4;
89 kW electric motor",Alfa Romeo,,SUV,PHEV,Plug-in Hybrid Electric,33,360,Blended,,AWD,,,,,,304,51,15,
13483,45,377,27,A3,2024,,,,29,37,32,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,FWD,,,,,,,,,
13482,45,377,27,A3 quattro,2024,,,,27,34,30,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13347,45,377,27,A4 quattro/S-Line/Allroad,2024,,,,,,27-30,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,Includes Allroad and S-Line models,AWD,,,,,,,,,
13348,45,377,27,A5 quattro Coupe/Cabriolet/Sportback,2024,,,,,,27-30,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,"Includes Coupe, Cabriolet, and Sportback models",AWD,,,,,,,,,
13484,45,377,27,A6 quattro,2024,,,,23,33,26,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13485,45,377,27,A6 quattro/Allroad,2024,,,,22,30,25,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13487,45,377,27,A7 quattro,2024,,,,22,30,25,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13486,45,377,27,A8 quattro,2024,,,,19,28,22,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13421,41,377,27,e-tron GT/RS e-tron GT,2024,,,85,,,,e-motor,175 kW and 320 or 335 kW,,175 kW and 320 or 335 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,ELEC,Electric,249,,,,AWD,9.6,270,3,23,292,723,129,93,5
13422,41,377,29,Q4 40 e-tron,2024,112,94,103,,,,e-motor,150 kW,,150 kW electric motor,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,265,,,,RWD,11,125,3,31,282,352,234,82,5
13423,41,377,29,Q4 50 e-tron quattro,2024,,,93-95,,,,e-motor,80 kW (x2),,80 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,236-242,,,Includes Sportback model,AWD,11,125,3,31,282,352,234,82,5
13646,41,377,29,Q4 55 e-tron quattro,2024,107,92,100,,,,e-motor,80 and 150 kW,,80 and 150 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,258,,,Includes Sportback model,AWD,11,125,3,31,282,352,234,82.4,5
13349,45,377,29,Q5 quattro/Sportback/S-Line,2024,,,,,,24-26,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,Includes S-Line and Sportback S-Line models,AWD,,,,,,,,,
13488,45,377,29,Q7 quattro,2024,,,,19,24,21,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13425,41,377,29,Q8 e-tron quattro,2024,80,83,81,,,,e-motor,141 kW (x2),,141 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,285,,,,AWD,11,125,3,31,282,397,288,114,5
13576,45,377,29,Q8 quattro,2024,,,,17,23,19,SI,3.0L,6,3.0L V6,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13535,41,377,29,Q8 Sportback e-tron quattro,2024,84,90,87,,,,e-motor,141 and 172 kW,,141 and 172 kW electric motors,Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,296,,,,AWD,9.6-19.2,170,3,44,311,397,288,114,5
13426,41,377,29,Q8 Sportback e-tron ultra quattro,2024,84,89,86,,,,e-motor,172 kW (x2),,172 kW electric motors (x2),Audi,https://www.audiusa.com/us/web/en.html,SUV,ELEC,Electric,300,,,,AWD,11,125,3,31,282,397,288,114,5
13489,45,377,27,RS 6 Avant,2024,,,,14,22,17,SI,4.0L,8,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13490,45,377,27,RS7,2024,,,,14,22,17,SI,4.0L,8,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13494,45,377,29,RS Q8,2024,,,,13,19,15,SI,4.0L,8,4.0L V8,Audi,https://www.audiusa.com/us/web/en.html,SUV,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13350,45,377,27,S3,2024,,,,23,32,26,SI,2.0L,4,2.0L I4,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
13491,45,377,27,S6,2024,,,,19,26,22,SI,2.9L,6,2.9L V6,Audi,https://www.audiusa.com/us/web/en.html,Sedan/Wagon,HYBR,Hybrid Electric,,,,,AWD,,,,,,,,,
